loan_number,loan_status_description
49157463,COMPLETED
55583726,COMPLETED
79753527,CURRENT
8146828,COMPLETED
33190177,COMPLETED
17713638,COMPLETED
1568219,COMPLETED
6578700,COMPLETED
60366979,CURRENT
46685970,CHARGEOFF
67075417,CURRENT
80739377,CURRENT
72633754,CURRENT
60835044,CHARGEOFF
8986399,CHARGEOFF
1365314,CHARGEOFF
70650210,COMPLETED
65189527,COMPLETED
53924223,COMPLETED
66604875,CURRENT
71002452,CURRENT
4404569,COMPLETED
76344821,COMPLETED
69582464,COMPLETED
52007547,COMPLETED
38322196,COMPLETED
48596520,COMPLETED
63409916,CHARGEOFF
23823971,COMPLETED
59220345,COMPLETED
21191278,COMPLETED
46324710,CHARGEOFF
61374276,COMPLETED
70120977,CURRENT
7081256,COMPLETED
34673454,COMPLETED
16372490,COMPLETED
46845334,CHARGEOFF
77507304,CURRENT
72542146,COMPLETED
8650220,COMPLETED
51075262,COMPLETED
52768633,CURRENT
69792473,CURRENT
65691513,CHARGEOFF
74141821,CURRENT
67919137,CURRENT
41298277,COMPLETED
63389912,CHARGEOFF
20398602,COMPLETED
7087432,CURRENT
1567968,COMPLETED
72576012,COMPLETED
70802142,COMPLETED
7071655,CHARGEOFF
71572555,CURRENT
71765180,COMPLETED
60406391,CURRENT
5875622,COMPLETED
47817236,CURRENT
49117017,COMPLETED
68744623,COMPLETED
59269244,CHARGEOFF
73935236,CURRENT
68437698,CURRENT
61343682,CURRENT
48876187,COMPLETED
66471387,COMPLETED
75260899,CHARGEOFF
6581254,COMPLETED
5146146,COMPLETED
58120613,CURRENT
8284976,COMPLETED
72033312,CURRENT
81008903,COMPLETED
30706144,CHARGEOFF
21260796,COMPLETED
73883135,COMPLETED
35196595,COMPLETED
15280373,COMPLETED
10756667,CHARGEOFF
53464988,COMPLETED
14758821,CURRENT
6926695,CURRENT
48212222,CHARGEOFF
59169179,COMPLETED
46610810,COMPLETED
78963428,CHARGEOFF
72544854,CURRENT
65027935,CHARGEOFF
60760661,CURRENT
77555837,CURRENT
23864753,COMPLETED
55253253,CURRENT
25707312,CURRENT
9174932,COMPLETED
23773173,COMPLETED
54079425,CHARGEOFF
6286848,COMPLETED
50053850,COMPLETED
1578170,COMPLETED
3014765,COMPLETED
63445064,COMPLETED
10075241,COMPLETED
44895257,COMPLETED
5445547,CHARGEOFF
39580218,CHARGEOFF
12266289,CURRENT
57284461,COMPLETED
43389719,COMPLETED
13096190,COMPLETED
61468570,CURRENT
6717199,COMPLETED
56360506,CHARGEOFF
55209488,CURRENT
46416490,CHARGEOFF
1418030,COMPLETED
72173689,COMPLETED
8586337,CHARGEOFF
44877035,CURRENT
55080614,COMPLETED
10767158,COMPLETED
12405174,COMPLETED
41379048,CHARGEOFF
16582173,COMPLETED
35146607,COMPLETED
65018127,CURRENT
76122066,COMPLETED
68342107,CURRENT
55451618,CURRENT
71934766,COMPLETED
46733731,COMPLETED
68514212,CHARGEOFF
40500767,COMPLETED
56047786,COMPLETED
32278891,COMPLETED
1399750,COMPLETED
22233012,COMPLETED
8664845,COMPLETED
3355608,COMPLETED
6626417,COMPLETED
1373956,DEFAULTED
6188255,CHARGEOFF
79764431,CURRENT
23793446,COMPLETED
15610731,CHARGEOFF
78809803,CURRENT
9037856,COMPLETED
34282001,COMPLETED
83789929,CURRENT
15301121,COMPLETED
18565055,COMPLETED
25877451,CURRENT
35938469,COMPLETED
10113843,COMPLETED
67446978,COMPLETED
68633243,CHARGEOFF
30125217,COMPLETED
41144267,CHARGEOFF
57355033,COMPLETED
53664254,COMPLETED
78190198,CURRENT
23953596,COMPLETED
4095485,CHARGEOFF
6925991,COMPLETED
81487180,CHARGEOFF
78849516,COMPLETED
40684472,CHARGEOFF
1450478,COMPLETED
68386365,CURRENT
19436507,CHARGEOFF
63416126,COMPLETED
64067811,COMPLETED
57146696,COMPLETED
16481891,COMPLETED
73560085,CURRENT
13336847,COMPLETED
46754402,CHARGEOFF
39218195,COMPLETED
56017252,COMPLETED
11315526,COMPLETED
58912343,CURRENT
48232378,COMPLETED
74601445,COMPLETED
75558447,CURRENT
10084658,COMPLETED
81920497,CHARGEOFF
63466424,CHARGEOFF
44056338,COMPLETED
9067737,COMPLETED
29595586,COMPLETED
3370679,CURRENT
23052959,COMPLETED
46685015,CHARGEOFF
39330315,COMPLETED
11275652,COMPLETED
54485531,CURRENT
65161157,CHARGEOFF
40512238,COMPLETED
6396312,COMPLETED
26088089,CURRENT
83845327,CHARGEOFF
29253972,COMPLETED
5793395,COMPLETED
18495112,COMPLETED
79603024,CURRENT
40356285,CURRENT
3637915,COMPLETED
6184996,COMPLETED
69582754,CHARGEOFF
53372254,CURRENT
33420217,COMPLETED
9011132,COMPLETED
59192117,COMPLETED
70957001,CURRENT
46428520,COMPLETED
43420587,COMPLETED
1571057,COMPLETED
68426850,CURRENT
81384182,COMPLETED
48060862,COMPLETED
70211201,COMPLETED
45092282,COMPLETED
24194783,COMPLETED
46347217,CURRENT
1334155,COMPLETED
5777648,COMPLETED
32939993,DEFAULTED
65423755,COMPLETED
4567048,CHARGEOFF
29964783,COMPLETED
73735213,COMPLETED
83825393,CURRENT
37287276,CHARGEOFF
64108415,CURRENT
36220377,COMPLETED
81535303,COMPLETED
5187186,COMPLETED
63458204,CURRENT
14618849,COMPLETED
55229311,CURRENT
78679631,CURRENT
27571231,COMPLETED
11925434,COMPLETED
10777209,COMPLETED
70841573,CURRENT
5758571,COMPLETED
2486592,COMPLETED
21501092,COMPLETED
78700306,CURRENT
40267643,COMPLETED
76438122,CURRENT
66075785,CURRENT
74896496,COMPLETED
74655638,COMPLETED
63898517,COMPLETED
74651821,CURRENT
62206126,COMPLETED
15319593,CHARGEOFF
1241204,COMPLETED
56684515,CURRENT
7628425,COMPLETED
25928311,COMPLETED
46476197,COMPLETED
7091149,COMPLETED
72572484,CURRENT
39957432,CHARGEOFF
79114901,CURRENT
41120524,CURRENT
61812175,CHARGEOFF
2835678,CHARGEOFF
6158135,COMPLETED
77695363,CURRENT
75291270,COMPLETED
40128153,CHARGEOFF
46643766,COMPLETED
71966553,CHARGEOFF
17433174,COMPLETED
3238705,COMPLETED
9004692,COMPLETED
31647222,COMPLETED
5763521,CHARGEOFF
77309174,CURRENT
13458662,COMPLETED
1548752,COMPLETED
68376013,COMPLETED
17744676,COMPLETED
78230092,COMPLETED
34373619,CURRENT
19195278,CHARGEOFF
12916105,CURRENT
5694711,COMPLETED
79002333,CURRENT
51115684,CHARGEOFF
20069101,COMPLETED
44563441,CHARGEOFF
71011812,CURRENT
35988219,COMPLETED
74595112,CURRENT
69624081,CHARGEOFF
59432452,CHARGEOFF
19125799,COMPLETED
12346648,COMPLETED
3147584,COMPLETED
2092815,CURRENT
74563716,COMPLETED
1557012,CURRENT
46812350,COMPLETED
8145904,COMPLETED
31567441,CHARGEOFF
38568932,COMPLETED
55360777,COMPLETED
31397465,COMPLETED
43195344,COMPLETED
5609310,COMPLETED
83819888,CURRENT
51676385,COMPLETED
9584915,CHARGEOFF
35833902,COMPLETED
51916435,COMPLETED
81570015,CURRENT
70610838,COMPLETED
33331070,COMPLETED
1105486,COMPLETED
14618002,COMPLETED
39752199,COMPLETED
21080666,COMPLETED
41216841,COMPLETED
20038611,COMPLETED
53734213,COMPLETED
61318394,COMPLETED
60585616,CHARGEOFF
38381214,CURRENT
32188256,COMPLETED
65834947,COMPLETED
72927669,CURRENT
8667891,COMPLETED
61331600,COMPLETED
6177006,COMPLETED
1570229,COMPLETED
20418648,COMPLETED
70963615,CURRENT
14558094,COMPLETED
15731291,COMPLETED
19836844,CURRENT
6684566,COMPLETED
79131188,COMPLETED
4546197,COMPLETED
10648658,COMPLETED
51876133,COMPLETED
68746129,COMPLETED
29154239,COMPLETED
26929533,COMPLETED
43509469,CURRENT
40550421,COMPLETED
36430267,CHARGEOFF
77881128,CURRENT
50073852,COMPLETED
11524674,CURRENT
3145418,COMPLETED
31637891,COMPLETED
81403225,CURRENT
70030443,COMPLETED
71012381,COMPLETED
68913246,COMPLETED
61488732,CURRENT
74071370,COMPLETED
65251707,CHARGEOFF
65128507,CHARGEOFF
51005875,CURRENT
64037882,CHARGEOFF
33110790,CURRENT
38191621,CHARGEOFF
40970485,COMPLETED
78419926,CHARGEOFF
5773264,COMPLETED
44633200,COMPLETED
63509809,CURRENT
43819799,CHARGEOFF
66170576,COMPLETED
5617183,COMPLETED
7705170,COMPLETED
63557891,COMPLETED
72752455,CURRENT
10074705,CHARGEOFF
8204919,COMPLETED
67336847,COMPLETED
75719823,CHARGEOFF
45784619,CHARGEOFF
53121830,CHARGEOFF
75879328,COMPLETED
16501493,COMPLETED
5175093,COMPLETED
1565710,COMPLETED
34954187,COMPLETED
66465175,CURRENT
3366011,COMPLETED
66651072,COMPLETED
36049166,DEFAULTED
75220643,COMPLETED
9000101,COMPLETED
1134180,COMPLETED
5054671,CURRENT
71543378,CHARGEOFF
68523778,CURRENT
8609317,COMPLETED
64230516,COMPLETED
7726439,CHARGEOFF
65631610,CURRENT
18905529,COMPLETED
40298280,CHARGEOFF
9696293,COMPLETED
34974443,COMPLETED
42283594,COMPLETED
63446874,CHARGEOFF
72032184,COMPLETED
6604650,CHARGEOFF
63414728,CHARGEOFF
9814756,COMPLETED
21380912,COMPLETED
4310149,COMPLETED
46587691,COMPLETED
35186629,COMPLETED
60904121,CURRENT
33230526,CHARGEOFF
78600241,CURRENT
68589513,CHARGEOFF
7087023,COMPLETED
71037827,CURRENT
83739761,CHARGEOFF
40463588,COMPLETED
60971558,CHARGEOFF
40177193,CHARGEOFF
30816050,COMPLETED
66490525,COMPLETED
4315103,COMPLETED
46795799,COMPLETED
57663639,CURRENT
68477898,CURRENT
36681356,CURRENT
43709611,COMPLETED
3105249,CHARGEOFF
65831169,CHARGEOFF
12597571,COMPLETED
58842193,COMPLETED
60135745,CURRENT
25207933,COMPLETED
79144578,CURRENT
10115080,COMPLETED
20049188,COMPLETED
70947289,CURRENT
68851616,CURRENT
37897215,COMPLETED
75447189,CURRENT
83101891,CURRENT
65382744,CHARGEOFF
14539158,COMPLETED
69276359,COMPLETED
58522401,CURRENT
62489512,CURRENT
22373244,CHARGEOFF
19316488,COMPLETED
62499753,COMPLETED
57428646,CURRENT
8876695,COMPLETED
63425660,COMPLETED
6424703,COMPLETED
53604268,COMPLETED
55951434,COMPLETED
75142230,CURRENT
7731360,COMPLETED
73726097,COMPLETED
74161179,CURRENT
27030323,CURRENT
34343190,COMPLETED
54258559,COMPLETED
8985925,COMPLETED
34392426,CURRENT
28032310,COMPLETED
70811273,CURRENT
62157192,CURRENT
1167091,COMPLETED
28723118,CURRENT
78964196,COMPLETED
6516120,CURRENT
63494739,CURRENT
19877278,COMPLETED
7265326,CHARGEOFF
46774382,CURRENT
18815576,COMPLETED
12917526,COMPLETED
11458599,CHARGEOFF
35044032,COMPLETED
7073281,COMPLETED
23043214,COMPLETED
63327674,CURRENT
76708384,CURRENT
60834190,CURRENT
61458303,COMPLETED
74874837,COMPLETED
20058801,COMPLETED
8628296,COMPLETED
70071897,COMPLETED
58081325,COMPLETED
28172371,COMPLETED
48050284,COMPLETED
33430467,COMPLETED
56924856,COMPLETED
48684954,COMPLETED
1146786,COMPLETED
43914898,CHARGEOFF
53424569,COMPLETED
13108224,CHARGEOFF
75280889,CURRENT
17262782,CHARGEOFF
68694496,CURRENT
70221834,COMPLETED
13447223,COMPLETED
8064606,COMPLETED
3810447,COMPLETED
70614708,CURRENT
4291939,CHARGEOFF
74161463,CURRENT
63325681,COMPLETED
8955962,COMPLETED
19736707,COMPLETED
16952601,COMPLETED
24816223,CHARGEOFF
1694463,CURRENT
2488100,COMPLETED
74935790,CURRENT
23904934,COMPLETED
5814814,COMPLETED
77418597,CURRENT
53382343,COMPLETED
60774826,COMPLETED
65322179,CURRENT
51877105,COMPLETED
75277356,CURRENT
59141693,COMPLETED
28984016,COMPLETED
80599421,COMPLETED
55189790,COMPLETED
13057509,COMPLETED
62327055,CHARGEOFF
58703704,CURRENT
66501100,CURRENT
73538544,CHARGEOFF
28702674,COMPLETED
70955050,CURRENT
38008528,COMPLETED
47817269,COMPLETED
81486431,CURRENT
7955888,CHARGEOFF
57883190,CURRENT
66542059,CURRENT
10090502,COMPLETED
72523352,CURRENT
74765009,CURRENT
43936327,COMPLETED
1410242,COMPLETED
63387516,COMPLETED
10082388,CHARGEOFF
35988289,COMPLETED
56995051,COMPLETED
8959152,COMPLETED
13337551,COMPLETED
74574402,CURRENT
63979491,COMPLETED
36800598,COMPLETED
47058421,COMPLETED
29293706,CURRENT
56582650,COMPLETED
61539477,COMPLETED
23844778,COMPLETED
39619988,COMPLETED
2081137,CHARGEOFF
1104287,COMPLETED
49893169,CURRENT
9676319,COMPLETED
7068165,COMPLETED
2078429,COMPLETED
26258813,COMPLETED
17804556,COMPLETED
19666938,CHARGEOFF
9208482,COMPLETED
43296025,COMPLETED
44996039,COMPLETED
81573180,CURRENT
80598518,COMPLETED
8855437,CURRENT
71847530,CURRENT
56230490,CHARGEOFF
43449933,COMPLETED
7455701,COMPLETED
68575967,COMPLETED
43893813,COMPLETED
23865260,CURRENT
30225515,CURRENT
7445007,COMPLETED
43914998,COMPLETED
38576802,COMPLETED
24845098,COMPLETED
39340520,COMPLETED
52718422,CHARGEOFF
55139323,COMPLETED
12706140,COMPLETED
54978449,CHARGEOFF
10075020,COMPLETED
13777446,COMPLETED
63450272,CURRENT
5790388,COMPLETED
1141456,COMPLETED
24294584,COMPLETED
18785661,COMPLETED
2474932,COMPLETED
68429153,CURRENT
41009537,COMPLETED
65293394,COMPLETED
66440149,COMPLETED
58592397,CHARGEOFF
39562308,COMPLETED
55555251,CURRENT
57366772,COMPLETED
33180194,CURRENT
60336287,CURRENT
38534683,COMPLETED
38565409,CURRENT
51197225,CHARGEOFF
40412356,CURRENT
8125075,CURRENT
50576921,COMPLETED
72092514,CHARGEOFF
64211064,CURRENT
3147166,COMPLETED
77521404,CURRENT
66036525,CHARGEOFF
7058465,CURRENT
1314318,COMPLETED
41750216,COMPLETED
34723329,COMPLETED
63621413,CURRENT
65392396,CURRENT
75263214,CURRENT
66492686,COMPLETED
48274973,COMPLETED
63244850,COMPLETED
63254420,COMPLETED
3642977,CHARGEOFF
10090461,CHARGEOFF
82277436,COMPLETED
61540645,COMPLETED
63178173,CHARGEOFF
5345539,COMPLETED
21890950,CURRENT
5446250,COMPLETED
55512530,COMPLETED
65706164,COMPLETED
39711160,COMPLETED
46587099,COMPLETED
1246260,COMPLETED
42434902,COMPLETED
75102466,CURRENT
20090425,COMPLETED
57014365,CURRENT
59471160,COMPLETED
61037859,COMPLETED
34663134,CHARGEOFF
63489799,COMPLETED
56582366,CURRENT
83621904,COMPLETED
36491220,COMPLETED
1283122,COMPLETED
7074799,COMPLETED
9198971,COMPLETED
68565856,CURRENT
6307733,CHARGEOFF
73508770,CURRENT
34333604,COMPLETED
8394708,COMPLETED
38624708,COMPLETED
51926788,COMPLETED
64822827,CURRENT
33601368,COMPLETED
8577070,COMPLETED
60606729,COMPLETED
53514668,CHARGEOFF
54364414,CURRENT
69346797,COMPLETED
52396592,COMPLETED
74041736,CURRENT
60576718,COMPLETED
4166003,COMPLETED
19015990,CHARGEOFF
71975058,COMPLETED
66026470,COMPLETED
29685401,CHARGEOFF
7285400,CURRENT
72867712,CURRENT
66054704,CURRENT
7564749,COMPLETED
6184700,COMPLETED
4634597,COMPLETED
68998289,CHARGEOFF
69514802,CURRENT
7069241,CHARGEOFF
81457332,CHARGEOFF
3240249,COMPLETED
62734682,CURRENT
7266030,COMPLETED
61530571,COMPLETED
36371556,COMPLETED
72663645,CURRENT
11728291,COMPLETED
51265422,COMPLETED
68812043,CURRENT
9777316,COMPLETED
63360457,COMPLETED
50565189,CHARGEOFF
12945821,COMPLETED
5758293,COMPLETED
34414027,CURRENT
1318060,COMPLETED
24695464,CURRENT
17915020,COMPLETED
72712653,COMPLETED
70351567,CURRENT
56553165,CURRENT
1541668,COMPLETED
56079869,CURRENT
71767120,COMPLETED
6465336,COMPLETED
32479062,COMPLETED
73302127,CURRENT
8969024,COMPLETED
17725598,CHARGEOFF
23955648,COMPLETED
40421686,COMPLETED
70691345,CHARGEOFF
55260394,COMPLETED
64048693,DEFAULTED
59122954,CHARGEOFF
63344789,COMPLETED
51968550,CURRENT
65703486,CURRENT
18975151,COMPLETED
11638318,COMPLETED
60707234,COMPLETED
65824650,CURRENT
80582457,CURRENT
12606154,COMPLETED
69990799,CURRENT
40117227,COMPLETED
8597427,COMPLETED
60941845,COMPLETED
62590007,CURRENT
20849463,CHARGEOFF
57723009,COMPLETED
34071903,COMPLETED
51136323,CURRENT
24016340,CURRENT
55948958,CHARGEOFF
1408309,CHARGEOFF
46753850,COMPLETED
70865082,COMPLETED
56089233,CURRENT
68834739,CURRENT
78168787,COMPLETED
1337461,COMPLETED
9104777,CHARGEOFF
3185765,COMPLETED
67446980,CURRENT
72622381,COMPLETED
72225605,CURRENT
54444080,CHARGEOFF
27502003,CURRENT
14510916,COMPLETED
73142172,CHARGEOFF
40423618,COMPLETED
68478308,CURRENT
73521060,CURRENT
18975992,CURRENT
28052236,COMPLETED
45424381,CURRENT
74503801,CURRENT
64711678,COMPLETED
35104659,CHARGEOFF
4278462,COMPLETED
70092321,COMPLETED
56662701,COMPLETED
60386226,CHARGEOFF
65008678,CURRENT
46506962,COMPLETED
68704300,CURRENT
34323545,CURRENT
6996188,CHARGEOFF
1074216,CHARGEOFF
7728871,COMPLETED
40391051,COMPLETED
77430538,CURRENT
10124791,COMPLETED
37938379,COMPLETED
50123316,COMPLETED
74715045,COMPLETED
59090895,CURRENT
7445522,COMPLETED
56431174,COMPLETED
11674694,COMPLETED
64088482,COMPLETED
63897794,CURRENT
2774697,COMPLETED
56002939,COMPLETED
43379458,COMPLETED
46467452,COMPLETED
71612797,COMPLETED
40017819,COMPLETED
66425931,CURRENT
3015492,COMPLETED
51346870,COMPLETED
20408461,COMPLETED
55320447,COMPLETED
40197338,COMPLETED
74691345,CURRENT
5695937,COMPLETED
56100818,CURRENT
73711452,COMPLETED
5955262,COMPLETED
67405504,CURRENT
4376537,COMPLETED
19947589,COMPLETED
39711530,COMPLETED
68545540,COMPLETED
10766626,COMPLETED
63424193,CURRENT
33441119,COMPLETED
1339440,COMPLETED
61018174,CURRENT
6517174,COMPLETED
58350271,CURRENT
77349797,CURRENT
61943259,CURRENT
42314820,COMPLETED
42324325,CHARGEOFF
65994353,COMPLETED
31156438,CURRENT
32178414,COMPLETED
10125409,CURRENT
